Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  11.45579743385315
max_count =  39  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.2444335923 0.2439155157 0.1700273363 0.1694225528  164279.27    654976.61  
Using  0.05 of training data
Factorizing with max_iteration = 10000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       997.18    10.0928     6.6354    10.0789     6.6066     0.3162     4.472    143736.27   28627.77     0.0    
   100      2178.24     10.088     6.634     10.0738     6.6062     0.3094     0.9894   143467.58   28592.05     0.0    
   200      4344.54    10.0314     6.6144    10.0173     6.5857     0.295      0.833    141594.81   28147.98     0.0    
   500      10390.18    8.9067     5.7017      8.89      5.6624     0.2322     0.8736   111159.83   22041.9      0.0    
   1000     20260.18    6.2309     3.6192     6.2189     3.5779     0.097      0.7927    66843.33   13260.02     0.0    
   1500     29931.01    4.7406     2.7258     4.7316     2.6954     0.1441     0.4687    52502.32   10401.9      0.0    
   2000     40000.73    3.9093     2.306      3.888      2.2793     0.1687     0.7648    46994.59   9299.92      0.0    
   2500     50027.78    3.4108     2.0689     3.3697     2.0329     0.0714     0.1111    44453.78   8783.68      0.0    
   3000     60041.98    3.0985     1.919      3.0467     1.8782     0.1098     0.0171    43127.01   8508.28      0.0    
   3500     70063.43    2.8986     1.8234     2.8348     1.7746     0.0904     0.4517    42395.19   8358.22      0.0    
   4000     80153.03    2.7616     1.7534      2.69      1.7033     0.0622     0.0115    41918.67   8249.44      0.0    
   4500     90215.49     2.67      1.7067     2.5867     1.6498     0.0411     0.0964    41624.79   8178.93      0.0    
   5000    100285.72    2.6063     1.6726     2.5159     1.6158     0.0429     0.0122    41378.02   8123.87      0.0    
   5500    110390.19    2.5581     1.6475     2.4595     1.584       0.04      0.021     41196.77    8077.1      0.0    
   6000    120582.05    2.5237     1.6286     2.4178     1.5605     0.0385     0.0251    41032.67   8031.97      0.0    
   6500    130823.67    2.4945     1.6117     2.3802     1.5362     0.0467     0.0227    40894.49   7984.66      0.0    
   7000    141065.66    2.4714     1.5955     2.3483     1.5138     0.0449     0.0031    40725.49   7933.54      0.0    
   7500    150698.12    2.454      1.5834     2.323      1.4958     0.0418     0.0106    40595.32   7888.16      0.0    
   8000    160196.71    2.4364     1.5715     2.2939     1.4739     0.0301     0.0206    40456.84   7837.69      0.0    
   8500    169813.22    2.4232     1.5604     2.2728     1.4556     0.0247     0.0132    40317.31   7792.57      0.0    
   9000    179321.08    2.4103     1.5502     2.2478     1.4373     0.0284     0.0025    40189.22    7748.8      0.0    
   9500    189147.77    2.398       1.54      2.231      1.4198     0.0224     0.0343    40075.24   7706.38      0.0    
