Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  12.323436498641968
max_count =  39  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.3817143608 0.3806031679 0.2482988559 0.2477853645  160634.24    639888.96  
Using  0.05 of training data
Factorizing with max_iteration = 10000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50      1085.43    10.0992     6.6402      10.1      6.6194     0.3162     4.4719   143822.66   28653.39     0.0    
   100      2372.75    10.0946     6.6392    10.0947     6.6186     0.3095     1.1691   143572.71   28624.6      0.0    
   200      4732.52    10.0377     6.6194    10.0382     6.5972     0.2947      0.76    141692.89   28194.7      0.0    
   500      11327.76    8.915      5.7128     8.914      5.6799     0.2335     0.2188   111380.38   22115.84     0.0    
   1000     22126.37    6.2382     3.6326     6.2434     3.6003     0.0981     0.8031    66997.46   13332.8      0.0    
   1500     32942.83    4.7443     2.7351     4.7515     2.7138     0.1137     0.4468    52603.73   10457.61     0.0    
   2000     43725.94    3.9132     2.3127     3.9056     2.2918     0.1277     0.4872    47077.78   9340.05      0.0    
   2500     54513.53    3.4166     2.0787     3.3893     2.0494     0.0868     0.0925    44569.09   8826.57      0.0    
   3000     65297.71    3.1083     1.9323     3.0658     1.8946     0.0915     0.1211    43252.15   8550.55      0.0    
   3500     76066.2     2.9106     1.8349     2.8536     1.7917     0.0617     0.0076    42509.65   8392.63      0.0    
   4000     86835.68    2.7774     1.7668     2.7118     1.7221     0.0689     0.0304    42039.75    8287.2      0.0    
   4500     97607.61    2.6875     1.7208     2.6081     1.669      0.0526     0.0103    41754.22    8218.3      0.0    
   5000     108378.8    2.6236     1.6875     2.5376     1.6326     0.0722     0.3545    41511.44   8165.85      0.0    
   5500    119147.25    2.5771     1.6638     2.4837     1.6052     0.0713     0.0065    41355.94   8119.08      0.0    
   6000    129912.86    2.5436     1.6433     2.4403     1.5767     0.037      0.6144    41185.2    8074.15      0.0    
   6500    140679.91    2.5163     1.6283     2.4059     1.5577     0.0345     0.0032    41050.61   8027.97      0.0    
   7000    151491.44    2.4936     1.6131     2.3771     1.5367     0.063      0.0011    40889.22   7978.52      0.0    
   7500    162347.09    2.4756     1.6001     2.3485     1.5165     0.028      0.6722    40758.13   7931.73      0.0    
   8000    173145.18    2.4603     1.5898     2.3196     1.4933     0.0354     0.0155    40626.68   7881.07      0.0    
   8500    183975.51    2.4457     1.5786     2.2974     1.4756     0.0333     0.0024    40488.78   7834.39      0.0    
   9000    194782.74    2.4324     1.5679     2.2751     1.4569     0.027      0.2013    40359.97   7789.33      0.0    
